id,Номер Рейса,Что случилсоь,Наличие пострадавши,Поврежденные модули,Критично для текущего рейса?,id_Flight
208,522-02-8759,porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum,1,tellus semper interdum mauris ullamcorper,0,208
209,829-12-4072,erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque,0,consequat lectus in,1,209
210,891-09-8497,turpis sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget,1,congue,1,210
211,389-14-5619,magnis dis parturient montes nascetur ridiculus,1,tortor risus,1,211
212,738-24-0100,id justo sit amet sapien dignissim vestibulum vestibulum ante,1,ullamcorper purus sit amet nulla quisque,0,212
213,152-61-2532,porta volutpat erat quisque erat eros viverra eget,0,a pede posuere nonummy integer non velit,1,213
214,240-42-7992,elementum pellentesque quisque porta volutpat erat quisque erat,1,maecenas,1,214
215,429-46-8469,ultrices posuere cubilia curae duis faucibus accumsan odio,0,in ante vestibulum ante ipsum primis in faucibus,0,215
216,220-12-9951,nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,1,sociis natoque penatibus,0,216
217,882-23-3311,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique,1,arcu,1,217
218,649-28-1686,consectetuer adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non,0,ac,0,218
219,567-90-6692,sapien non mi integer ac neque duis bibendum morbi non quam nec dui,1,penatibus et,1,219
220,408-79-7605,adipiscing elit proin risus praesent lectus vestibulum quam sapien varius ut blandit non interdum,0,vestibulum ac est,0,220
221,521-28-3634,diam cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut,0,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis,1,221
222,215-84-1253,sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,1,venenatis,1,222
223,291-30-8433,consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis,1,hac habitasse platea dictumst,0,223
224,193-20-9272,condimentum neque sapien placerat ante,1,ac consequat metus sapien ut nunc,0,224
225,650-51-7911,convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,1,sapien arcu sed augue aliquam erat volutpat in congue,1,225
226,465-51-5325,sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus,1,ultrices posuere cubilia curae,0,226
227,812-46-8333,amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,0,luctus tincidunt nulla mollis,0,227
228,367-02-3620,pede justo lacinia eget tincidunt eget tempus,1,volutpat eleifend donec ut dolor morbi vel lectus,0,228
229,107-61-9017,risus dapibus augue vel accumsan tellus nisi eu orci,1,amet justo,0,229
230,331-55-7064,aliquet maecenas leo odio condimentum id luctus nec molestie sed,0,libero quis orci nullam molestie nibh in lectus,1,230
231,526-69-7881,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus,0,nulla nunc purus phasellus in felis donec,0,231
232,232-48-2264,convallis morbi odio odio elementum eu interdum eu tincidunt in leo,0,pellentesque at nulla suspendisse potenti cras in purus eu magna,0,232
233,673-73-5531,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,0,justo aliquam quis,1,233
234,152-57-7414,interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at,1,sit amet cursus id turpis integer aliquet,0,234
235,273-16-1886,at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci,0,ut nunc vestibulum ante ipsum,1,235
236,334-27-0858,mattis nibh ligula nec sem duis,1,cursus,0,236
237,638-85-0805,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur,1,odio condimentum id luctus nec molestie sed justo,1,237
238,339-50-2828,justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget,1,a pede posuere,0,238
239,526-13-0315,suspendisse accumsan tortor quis turpis sed ante,1,nec sem duis aliquam convallis,1,239
240,305-83-1791,et ultrices posuere cubilia curae nulla dapibus dolor vel est donec,0,in libero ut massa volutpat convallis morbi odio,1,240
241,331-06-8068,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,0,penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus,0,241
242,207-52-0071,fermentum donec ut mauris eget,0,penatibus et magnis dis parturient montes,1,242
243,164-02-6109,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat,1,elementum,1,243
244,313-64-7450,elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis sed,1,suspendisse potenti nullam porttitor lacus at turpis,0,244
245,450-65-7865,congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam erat,0,molestie nibh,0,245
246,601-99-7846,nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam,0,turpis donec posuere metus vitae,0,246
247,342-70-9141,accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,0,in faucibus orci luctus et ultrices posuere cubilia,1,247
248,284-39-2164,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula,1,in ante vestibulum ante ipsum primis in faucibus orci,1,248
249,652-89-3822,ligula pellentesque ultrices phasellus id sapien,0,ligula sit amet eleifend pede,0,249
250,112-22-8179,felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,1,dui vel sem sed sagittis,0,250
251,515-70-6198,nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam,1,vitae nisi nam ultrices libero non mattis pulvinar nulla pede,0,251
252,589-96-9067,lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet,1,elementum nullam varius nulla facilisi cras non velit,1,252
253,263-92-4808,viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,1,aliquam lacus morbi quis tortor id,1,253
254,694-98-6539,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id,0,leo,0,254
255,597-96-1852,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,1,sapien urna pretium nisl ut volutpat sapien arcu sed,1,255
256,573-78-9785,dignissim vestibulum vestibulum ante ipsum primis in,0,vel accumsan tellus nisi eu orci,0,256
257,793-87-0366,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes,0,varius ut blandit non,1,257
258,731-24-7780,hendrerit at vulputate vitae nisl aenean lectus pellentesque eget,1,vitae nisl aenean,1,258
259,477-75-7224,purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,0,tempus sit amet sem fusce consequat nulla nisl,1,259
260,221-43-7549,velit donec diam neque vestibulum eget vulputate ut ultrices vel,0,faucibus accumsan odio curabitur convallis duis consequat,0,260
261,257-43-1560,nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem,0,hac habitasse platea,1,261
262,290-74-1293,volutpat dui maecenas tristique est et tempus semper est quam,0,duis,0,262
263,728-08-5717,imperdiet sapien urna pretium nisl ut volutpat sapien arcu sed augue aliquam,0,magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,0,263
264,464-42-8433,dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et,0,non mi integer ac neque duis,0,264
265,738-66-7757,nisi volutpat eleifend donec ut dolor,1,sem fusce consequat nulla nisl nunc nisl duis bibendum,0,265
266,124-15-4145,malesuada in imperdiet et commodo vulputate justo in blandit ultrices,0,montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum,0,266
267,388-44-8320,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at,0,in sapien iaculis congue vivamus,0,267
268,603-75-2721,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam,0,mauris enim leo rhoncus sed vestibulum sit amet cursus,1,268
269,330-21-7234,luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a,0,penatibus et,1,269
270,132-75-4603,placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,0,in est,1,270
271,663-52-3340,integer a nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices,0,accumsan odio curabitur convallis,0,271
272,317-12-7106,etiam pretium iaculis justo in hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,0,convallis duis consequat,1,272
273,257-04-3555,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet,0,morbi a ipsum integer a nibh in,0,273
274,234-69-7339,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede,0,quam fringilla rhoncus mauris enim,0,274
275,841-24-0483,in quam fringilla rhoncus mauris enim leo,1,mattis pulvinar nulla pede ullamcorper augue a suscipit,1,275
276,881-58-5095,volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec,1,metus vitae ipsum aliquam non mauris morbi non lectus,1,276
277,261-36-3941,eu est congue elementum in hac habitasse platea dictumst morbi,1,a suscipit nulla,0,277
278,571-65-7243,habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo,0,non quam,1,278
279,753-49-1867,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem,1,interdum in ante vestibulum ante ipsum primis,0,279
280,656-42-8432,aliquam sit amet diam in,1,dapibus at diam nam tristique,1,280
281,201-23-3737,lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,1,ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,1,281
282,698-30-0058,vivamus vestibulum sagittis sapien cum sociis natoque,1,ullamcorper purus sit amet nulla,0,282
283,183-69-4631,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit,0,in libero ut massa volutpat convallis,1,283
284,886-07-0978,luctus cum sociis natoque penatibus et magnis,0,vestibulum ante ipsum primis in faucibus,1,284
285,114-25-4779,tortor risus dapibus augue vel accumsan tellus nisi eu,1,maecenas rhoncus,1,285
286,466-88-5676,tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat,0,magnis dis parturient montes,1,286
287,803-30-1033,dolor sit amet consectetuer adipiscing elit,1,nisl,0,287
288,460-54-1111,ligula nec sem duis aliquam convallis nunc proin at turpis a,0,scelerisque mauris sit amet eros suspendisse accumsan tortor quis,0,288
289,758-72-8402,ridiculus mus vivamus vestibulum sagittis sapien cum sociis,0,vel lectus in quam fringilla,1,289
290,394-73-1252,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor,0,sapien urna pretium nisl ut,1,290
291,254-08-2429,diam vitae quam suspendisse potenti nullam,0,justo sit amet sapien dignissim vestibulum vestibulum,0,291
292,136-39-5873,etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl,1,eu felis fusce posuere felis,1,292
293,777-20-4740,adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu,0,ut volutpat,1,293
294,636-06-7634,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis,1,vel augue vestibulum ante ipsum,0,294
295,553-10-0699,consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi,1,aliquet pulvinar sed nisl nunc rhoncus dui,0,295
296,531-76-1024,praesent lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum,1,ligula pellentesque ultrices phasellus id sapien in,0,296
297,633-31-8051,enim leo rhoncus sed vestibulum sit amet,0,lectus,0,297
298,515-28-7606,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,0,praesent id massa,1,298
299,389-97-2396,a suscipit nulla elit ac nulla sed vel enim sit,0,quis augue luctus tincidunt nulla mollis molestie lorem,0,299
300,869-70-4874,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,0,diam erat fermentum justo nec,1,300
301,244-44-0478,vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in,1,integer ac neque,0,301
302,707-82-3811,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere,0,eleifend donec ut dolor morbi vel lectus in quam,1,302
303,185-97-1499,ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna,0,curae duis faucibus accumsan odio curabitur convallis duis,0,303
304,765-81-3524,elit proin interdum mauris non ligula pellentesque ultrices phasellus id,1,turpis,1,304
305,706-53-2437,ridiculus mus etiam vel augue vestibulum rutrum rutrum,1,praesent lectus vestibulum quam sapien varius ut blandit,1,305
306,235-20-1016,eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis,0,sed justo pellentesque viverra pede ac diam cras,0,306
307,237-66-1699,blandit mi in porttitor pede justo eu massa donec dapibus,1,odio odio,0,307
308,554-47-6307,posuere nonummy integer non velit donec diam neque,0,faucibus orci luctus et ultrices posuere cubilia,0,308
309,277-83-2831,tristique est et tempus semper,1,vel est donec odio justo sollicitudin,0,309
310,783-14-2497,auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis,1,morbi non lectus aliquam sit amet diam,0,310
311,588-84-2558,eu nibh quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci,0,consequat morbi a ipsum integer a nibh in,0,311
312,830-95-8224,turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem,0,eleifend luctus ultricies,0,312
313,660-43-3768,donec diam neque vestibulum eget vulputate ut ultrices vel,0,parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,0,313
314,427-18-5598,duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,1,sed accumsan felis ut at dolor quis odio consequat,1,314
315,468-24-3944,ipsum dolor sit amet consectetuer adipiscing,1,non mauris morbi non lectus aliquam sit amet,1,315
316,638-42-0631,vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus,1,porttitor,1,316
317,276-25-0260,lacus morbi sem mauris laoreet ut rhoncus aliquet,0,rhoncus aliquam lacus morbi quis tortor,0,317
318,465-82-4466,in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla,0,quis justo,0,318
319,749-11-7379,lobortis sapien sapien non mi integer ac neque,0,mi in porttitor pede justo eu,1,319
320,408-90-2320,pellentesque ultrices phasellus id sapien in sapien,1,odio odio,1,320
321,724-91-3702,at diam nam tristique tortor eu,1,donec odio justo sollicitudin ut suscipit a feugiat et eros,0,321
322,653-66-8886,in faucibus orci luctus et ultrices,0,leo odio condimentum id,1,322
323,662-55-7401,libero rutrum ac lobortis vel dapibus at,0,lacus curabitur at ipsum ac,0,323
324,760-99-0085,erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse platea,0,eu,0,324
325,263-70-8250,sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,0,sodales sed tincidunt eu felis fusce posuere,0,325
326,664-36-7297,mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,0,leo,1,326
327,776-86-8357,ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at,1,non lectus aliquam sit,0,327
328,208-47-8344,nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac,0,blandit non interdum in,0,328
329,395-95-4849,quisque ut erat curabitur gravida nisi at nibh in hac,1,est risus auctor sed tristique in tempus sit amet,0,329
330,284-58-7993,libero quis orci nullam molestie nibh in lectus pellentesque,0,ultrices aliquet maecenas leo odio condimentum id,1,330
331,195-14-5638,libero nam dui proin leo odio,1,sociis natoque penatibus et magnis dis parturient,1,331
332,360-82-5780,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam,1,erat tortor sollicitudin mi,0,332
333,251-71-0500,orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est,0,feugiat,1,333
334,802-91-6318,non quam nec dui luctus rutrum nulla tellus,0,nisl duis ac nibh fusce lacus purus,0,334
335,711-90-7070,ac enim in tempor turpis nec,1,est quam pharetra magna ac consequat metus sapien ut,0,335
336,506-05-8470,at dolor quis odio consequat,0,proin at turpis a pede posuere,1,336
337,794-69-3698,lobortis sapien sapien non mi integer,0,eget congue eget semper rutrum nulla nunc purus phasellus in,0,337
338,222-35-9615,ipsum integer a nibh in quis justo maecenas,1,lacinia nisi venenatis tristique fusce congue diam id,1,338
339,295-85-7962,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam,0,tempus semper est quam pharetra magna ac consequat metus,1,339
340,866-59-2294,quam suspendisse potenti nullam porttitor lacus at turpis donec,0,pulvinar,1,340
341,441-19-6704,vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat,0,porttitor lorem id ligula,1,341
342,549-41-3687,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,0,viverra dapibus,1,342
343,628-32-1421,nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent,1,aliquam non,0,343
344,434-55-1500,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum,0,dictumst maecenas ut massa quis augue luctus tincidunt nulla,0,344
345,711-69-8035,dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa,0,ullamcorper augue a,0,345
346,633-85-7510,orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu,1,in,1,346
347,610-74-6485,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi non quam nec,1,pellentesque at nulla suspendisse potenti cras in,1,347
348,849-25-7581,ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis,0,ut at dolor quis,1,348
349,391-89-4200,vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi,1,dolor morbi vel lectus in quam fringilla,1,349
350,782-83-0175,ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien arcu,1,blandit ultrices enim lorem,1,350
351,785-14-2435,luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec,0,commodo placerat praesent blandit nam nulla integer pede justo lacinia,0,351
352,804-97-9823,lobortis sapien sapien non mi integer ac neque duis,0,viverra eget,0,352
353,355-46-0204,nibh in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget,1,in faucibus orci luctus et ultrices,1,353
354,435-70-0088,pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus,1,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum,0,354
355,634-84-7173,euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis,1,nullam molestie nibh in,1,355
356,332-46-5022,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at,0,praesent,0,356
357,235-67-1685,eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,0,eu felis fusce posuere felis sed lacus,1,357
358,245-07-8810,in porttitor pede justo eu massa donec dapibus duis at velit eu,0,turpis elementum ligula vehicula consequat,1,358
359,222-66-9049,scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin,1,hac habitasse platea dictumst,1,359
360,514-69-5878,sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue,0,at nunc commodo placerat praesent blandit nam nulla,1,360
361,708-04-9213,velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros,0,ut blandit non interdum in,1,361
362,607-84-2451,felis fusce posuere felis sed lacus morbi sem,0,consequat morbi a ipsum,1,362
363,289-41-0145,blandit nam nulla integer pede justo lacinia eget tincidunt eget,1,nonummy integer non,0,363
364,242-78-0063,imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,0,est donec odio justo sollicitudin ut suscipit a,0,364
365,493-34-3155,in hac habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer eget rutrum at lorem integer tincidunt ante vel ipsum,0,libero convallis eget eleifend luctus ultricies eu,1,365
366,232-45-5821,nunc commodo placerat praesent blandit nam nulla integer,1,mi sit amet lobortis,1,366
367,376-31-5027,orci vehicula condimentum curabitur in libero ut massa volutpat,1,sapien cum sociis natoque,1,367
368,885-69-0712,suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,1,elementum ligula vehicula,0,368
369,602-26-4581,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing,1,enim lorem ipsum dolor,1,369
370,156-04-3762,ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas,1,vel sem sed sagittis nam congue risus,0,370
371,568-64-9298,vulputate elementum nullam varius nulla,0,vitae nisl aenean,1,371
372,355-34-2162,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis,1,eget,0,372
373,128-62-6971,nulla sed accumsan felis ut at dolor quis odio consequat varius,0,morbi,0,373
374,519-69-9230,in est risus auctor sed tristique in tempus sit amet sem,0,justo nec condimentum neque,1,374
375,508-30-1104,rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis,1,in hac habitasse platea dictumst morbi vestibulum velit id pretium,1,375
376,176-43-0468,massa id nisl venenatis lacinia aenean,0,tincidunt eu felis fusce posuere felis sed lacus morbi,1,376
377,244-82-5150,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet,0,dis parturient montes nascetur,0,377
378,703-78-7363,at dolor quis odio consequat varius integer ac,0,vestibulum ante,0,378
379,507-33-3799,ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam,1,ut erat id mauris vulputate elementum nullam varius nulla,1,379
380,209-25-5797,non mauris morbi non lectus aliquam sit amet diam in,1,justo eu massa donec dapibus duis at velit,1,380
381,730-25-8287,luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec,0,nullam sit amet turpis elementum ligula vehicula consequat morbi a,0,381
382,467-80-2544,non mattis pulvinar nulla pede ullamcorper augue a,0,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse,1,382
383,606-34-8286,integer aliquet massa id lobortis convallis tortor risus dapibus,1,dolor vel est donec,1,383
384,430-64-7674,rutrum rutrum neque aenean auctor gravida sem praesent,0,nullam molestie nibh in lectus,1,384
385,260-15-0621,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum,0,pharetra magna ac consequat metus sapien,1,385
386,224-06-7430,amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum,1,in imperdiet et commodo,0,386
387,305-33-7570,dapibus nulla suscipit ligula in,1,ornare,1,387
388,461-57-0405,ipsum integer a nibh in,1,iaculis justo in hac habitasse,0,388
389,416-24-5211,mi pede malesuada in imperdiet et commodo vulputate justo in blandit,1,ultrices phasellus id sapien in sapien iaculis,1,389
390,614-83-1907,turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit,0,eleifend pede libero quis orci,1,390
391,278-26-3200,nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer,1,curabitur in libero ut massa,1,391
392,116-31-5602,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus,0,mauris sit amet eros,1,392
393,872-60-0337,amet cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue,1,duis bibendum morbi non quam nec dui,0,393
394,184-21-7843,orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,1,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis,1,394
395,223-74-2749,tristique est et tempus semper,1,blandit nam nulla integer pede justo,1,395
396,264-97-0318,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet,1,pulvinar lobortis est phasellus sit amet,0,396
397,276-56-0475,libero nullam sit amet turpis elementum ligula,0,in quis justo maecenas rhoncus,0,397
398,197-08-4915,est lacinia nisi venenatis tristique,0,viverra dapibus nulla suscipit ligula in lacus curabitur,1,398
399,121-15-2795,ipsum ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque,1,aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas,0,399
400,312-73-2177,vehicula condimentum curabitur in libero ut massa volutpat,0,vestibulum,1,400
401,883-80-8659,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis,0,sed tristique in tempus sit amet sem,1,401
402,631-89-5920,viverra dapibus nulla suscipit ligula,1,donec dapibus duis at,0,402
403,540-27-8536,fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem,1,blandit mi in porttitor pede justo eu massa,1,403
404,877-83-9519,nibh in lectus pellentesque at,0,pretium iaculis justo in hac habitasse platea dictumst etiam faucibus,0,404
405,644-22-5740,turpis enim blandit mi in porttitor pede justo eu massa donec,0,morbi vel lectus in quam,0,405
406,808-99-3752,massa donec dapibus duis at,0,amet cursus id turpis,1,406
407,246-24-7987,pharetra magna vestibulum aliquet ultrices,1,massa id lobortis convallis tortor risus dapibus augue vel,0,407
408,570-93-4036,lectus vestibulum quam sapien varius ut,1,pellentesque,0,408
409,226-33-3773,hac habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque,1,velit eu est congue elementum in hac habitasse platea dictumst,1,409
410,503-97-8040,non sodales sed tincidunt eu felis fusce posuere felis sed lacus,1,convallis duis consequat dui nec nisi volutpat eleifend donec ut,1,410
411,371-28-1174,vitae quam suspendisse potenti nullam porttitor lacus at turpis,1,dictumst aliquam augue quam sollicitudin vitae,0,411
412,299-20-1527,lectus aliquam sit amet diam in magna,1,et eros vestibulum ac est lacinia nisi venenatis tristique,0,412
413,304-14-5736,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus,0,vel ipsum praesent,0,413
414,224-18-3670,nulla suscipit ligula in lacus,0,nisi venenatis,0,414
415,352-59-3815,in hac habitasse platea dictumst etiam,0,venenatis non sodales sed tincidunt eu felis fusce posuere felis,0,415
416,291-24-0422,quis libero nullam sit amet turpis elementum ligula vehicula consequat,0,nullam porttitor lacus at turpis donec posuere,1,416
417,840-42-5449,ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,0,in,1,417
418,321-96-2069,cursus id turpis integer aliquet massa id lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu orci,1,quam a odio in hac habitasse,0,418
419,495-01-4556,maecenas tristique est et tempus semper est quam pharetra magna,0,integer ac leo pellentesque ultrices,1,419
420,174-76-9479,aenean fermentum donec ut mauris eget massa tempor,0,sed nisl nunc rhoncus dui vel sem sed,0,420
421,669-23-2823,id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis,0,suscipit nulla elit ac,0,421
