id,Назначение,Размер,Вес,Легальность,Содержимое,Хрупкость,id_Ticket
266,Гражданское,neque,7,0,Proin at turpis a pede posuere nonummy. Integer non velit.,1,266
267,Гражданское,pulvinar sed nisl,21,1,Proin risus. Praesent lectus.,0,267
268,Гражданское,ut ultrices,44,1,Nunc nisl.,1,268
269,Военное,eu,36,0,Integer ac neque.,0,269
270,Военное,eleifend,24,1,Maecenas ut massa quis augue luctus tincidunt.,1,270
271,Военное,purus eu,9,1,Quisque porta volutpat erat.,0,271
272,Военное,integer a nibh in,32,0,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0,272
273,Гражданское,curae donec pharetra magna,14,0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0,273
274,Военное,quam,9,0,Nulla ac enim.,0,274
275,Гражданское,quam sollicitudin,19,1,Integer a nibh.,0,275
276,Гражданское,dis parturient,40,0,Integer a nibh.,1,276
277,Военное,sed nisl nunc,16,0,"Nulla ac enim. In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,277
278,Военное,molestie sed,44,0,Donec vitae nisi.,1,278
279,Военное,pretium quis lectus,46,0,Pellentesque at nulla.,1,279
280,Военное,eu est congue,48,0,Pellentesque ultrices mattis odio. Donec vitae nisi.,0,280
281,Военное,vestibulum vestibulum,34,0,Donec semper sapien a libero.,0,281
282,Военное,ante ipsum,48,1,Etiam faucibus cursus urna.,0,282
283,Гражданское,rutrum,4,0,Proin risus.,1,283
284,Гражданское,bibendum,43,0,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0,284
285,Военное,hac habitasse,20,0,Praesent lectus.,0,285
286,Гражданское,faucibus orci luctus,29,1,Nulla nisl. Nunc nisl.,1,286
287,Гражданское,in,10,1,In hac habitasse platea dictumst.,1,287
288,Гражданское,sed interdum,48,1,Duis consequat dui nec nisi volutpat eleifend. Donec ut dolor.,0,288
289,Военное,donec,46,1,Fusce consequat.,0,289
290,Гражданское,in lacus curabitur,1,1,Integer non velit.,0,290
291,Гражданское,non,12,0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,291
292,Военное,accumsan tortor,46,0,Proin eu mi.,0,292
293,Гражданское,odio donec vitae,22,1,Suspendisse ornare consequat lectus.,0,293
294,Гражданское,sit amet consectetuer adipiscing,35,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0,294
295,Военное,augue,46,1,Donec vitae nisi.,1,295
296,Военное,dolor,1,1,Mauris ullamcorper purus sit amet nulla.,1,296
297,Гражданское,nam,41,1,Morbi ut odio.,1,297
298,Военное,curabitur in libero,46,0,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0,298
299,Гражданское,ut odio cras mi,10,1,Integer non velit.,0,299
300,Военное,vestibulum velit id pretium,41,1,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,0,300
301,Гражданское,nisl ut volutpat,47,1,Pellentesque at nulla. Suspendisse potenti.,0,301
302,Военное,diam cras pellentesque volutpat,28,1,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,0,302
303,Военное,molestie hendrerit at,26,0,Aliquam sit amet diam in magna bibendum imperdiet.,0,303
304,Военное,neque sapien,3,1,In sagittis dui vel nisl. Duis ac nibh.,1,304
305,Военное,felis,45,0,Integer ac neque.,0,305
306,Гражданское,aenean fermentum,35,1,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",0,306
307,Военное,tempus sit amet sem,18,0,Proin eu mi.,1,307
308,Гражданское,elementum pellentesque quisque porta,18,0,Vivamus tortor.,0,308
309,Гражданское,amet,24,0,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,0,309
310,Военное,vestibulum aliquet ultrices erat,32,0,Sed vel enim sit amet nunc viverra dapibus.,1,310
311,Военное,sapien cursus,29,0,"Morbi vel lectus in quam fringilla rhoncus. Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",0,311
312,Гражданское,primis in,1,0,Nulla mollis molestie lorem. Quisque ut erat.,1,312
313,Гражданское,et,18,1,In blandit ultrices enim.,0,313
314,Военное,et,33,1,Donec dapibus. Duis at velit eu est congue elementum.,1,314
315,Военное,eget nunc donec,39,1,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,0,315
316,Гражданское,platea dictumst maecenas ut,7,1,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,1,316
317,Военное,iaculis justo in hac,43,1,Ut tellus. Nulla ut erat id mauris vulputate elementum.,1,317
318,Военное,amet sem fusce,44,0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1,318
319,Гражданское,varius nulla facilisi cras,37,0,Nulla suscipit ligula in lacus.,0,319
320,Гражданское,justo,4,0,Nulla ut erat id mauris vulputate elementum. Nullam varius.,1,320
321,Военное,mauris sit,24,0,Maecenas ut massa quis augue luctus tincidunt.,0,321
322,Гражданское,lacinia erat vestibulum sed,4,0,Nulla tempus. Vivamus in felis eu sapien cursus vestibulum.,0,322
323,Военное,hac habitasse platea dictumst,45,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,323
324,Гражданское,leo pellentesque ultrices,48,0,Proin risus. Praesent lectus.,1,324
325,Гражданское,quis justo,49,0,Aenean auctor gravida sem.,0,325
326,Военное,quam,20,1,Etiam vel augue. Vestibulum rutrum rutrum neque.,1,326
327,Военное,sapien dignissim vestibulum vestibulum,10,1,Sed accumsan felis.,1,327
328,Гражданское,elementum eu interdum eu,28,0,Praesent blandit. Nam nulla.,1,328
329,Гражданское,gravida nisi at nibh,15,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",0,329
330,Гражданское,rutrum,1,1,Integer ac neque. Duis bibendum.,1,330
331,Гражданское,at vulputate,29,1,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",1,331
332,Гражданское,a,37,0,Etiam vel augue.,1,332
333,Гражданское,at turpis,5,0,Nullam porttitor lacus at turpis.,1,333
334,Военное,pede venenatis non sodales,42,1,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",0,334
335,Гражданское,risus auctor sed,43,0,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0,335
336,Гражданское,lectus,13,0,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",1,336
337,Гражданское,consectetuer adipiscing,27,1,Curabitur gravida nisi at nibh.,0,337
338,Военное,vel accumsan,37,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,338
339,Гражданское,dignissim vestibulum vestibulum,31,1,Nullam varius.,1,339
340,Гражданское,sed augue aliquam,25,1,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",1,340
341,Военное,fusce posuere felis sed,27,1,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1,341
342,Военное,cras in purus,34,0,Curabitur gravida nisi at nibh.,1,342
343,Гражданское,hendrerit at vulputate,47,0,Praesent blandit. Nam nulla.,0,343
344,Военное,in felis donec semper,6,0,In sagittis dui vel nisl.,0,344
345,Военное,ipsum,37,0,Praesent blandit lacinia erat.,0,345
346,Военное,ultrices posuere,48,0,Fusce posuere felis sed lacus.,1,346
347,Гражданское,maecenas pulvinar lobortis,48,1,Curabitur convallis.,1,347
348,Гражданское,odio consequat varius integer,20,0,Integer tincidunt ante vel ipsum.,1,348
349,Военное,lobortis est phasellus,40,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin interdum mauris non ligula pellentesque ultrices.",0,349
350,Военное,lobortis est,30,1,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1,350
351,Военное,id justo sit amet,23,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1,351
352,Гражданское,at,29,1,Sed accumsan felis.,0,352
353,Гражданское,montes,22,1,Sed accumsan felis. Ut at dolor quis odio consequat varius.,1,353
354,Гражданское,lacus morbi,35,0,Nulla nisl. Nunc nisl.,1,354
355,Гражданское,lobortis est phasellus sit,37,0,Morbi a ipsum.,1,355
356,Военное,ante vivamus tortor,48,1,Nunc purus. Phasellus in felis.,0,356
357,Гражданское,venenatis tristique fusce,4,1,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,0,357
358,Гражданское,in tempor,41,1,"Curabitur in libero ut massa volutpat convallis. Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1,358
359,Военное,in felis donec,9,1,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",0,359
360,Военное,gravida sem praesent id,32,0,Sed vel enim sit amet nunc viverra dapibus. Nulla suscipit ligula in lacus.,1,360
361,Гражданское,sed tincidunt,46,0,In hac habitasse platea dictumst.,1,361
362,Гражданское,eu mi nulla ac,5,0,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1,362
363,Гражданское,morbi quis,29,0,Pellentesque ultrices mattis odio.,0,363
364,Гражданское,porttitor lorem,40,1,Praesent lectus.,0,364
365,Военное,iaculis congue vivamus metus,32,0,Vivamus tortor. Duis mattis egestas metus.,0,365
366,Гражданское,nulla ultrices aliquet maecenas,31,1,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0,366
367,Гражданское,volutpat,41,0,Donec ut dolor.,1,367
368,Гражданское,urna ut tellus,18,0,Pellentesque ultrices mattis odio.,0,368
369,Военное,leo,21,0,Curabitur at ipsum ac tellus semper interdum.,1,369
370,Гражданское,at ipsum ac tellus,30,1,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam. Nam tristique tortor eu pede.",1,370
371,Военное,semper porta volutpat,26,0,"Sed sagittis. Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",0,371
372,Военное,quisque porta,14,1,Curabitur gravida nisi at nibh.,1,372
373,Военное,mi,18,1,In hac habitasse platea dictumst.,0,373
374,Военное,massa quis,15,1,Donec dapibus. Duis at velit eu est congue elementum.,0,374
375,Гражданское,in imperdiet et commodo,45,1,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,0,375
376,Военное,in consequat ut nulla,42,0,Donec quis orci eget orci vehicula condimentum. Curabitur in libero ut massa volutpat convallis.,1,376
377,Гражданское,nulla tempus vivamus in,39,1,In quis justo. Maecenas rhoncus aliquam lacus.,0,377
378,Военное,sit amet consectetuer adipiscing,49,0,Aenean sit amet justo. Morbi ut odio.,1,378
379,Гражданское,luctus cum sociis natoque,38,0,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0,379
380,Гражданское,tempus,19,1,Aliquam erat volutpat. In congue.,0,380
381,Военное,elementum,9,0,Nam nulla.,1,381
382,Военное,diam neque,32,1,Nulla ut erat id mauris vulputate elementum. Nullam varius.,1,382
383,Гражданское,vestibulum eget vulputate,13,0,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,383
384,Гражданское,orci luctus et,17,0,In sagittis dui vel nisl.,0,384
385,Военное,cursus urna ut,24,1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",1,385
386,Гражданское,enim leo rhoncus sed,16,1,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1,386
387,Военное,rutrum,46,1,Sed ante.,0,387
388,Военное,aenean sit amet,39,0,Sed sagittis.,1,388
389,Гражданское,urna pretium nisl,22,1,Maecenas pulvinar lobortis est.,1,389
390,Военное,scelerisque quam turpis adipiscing,25,1,Integer ac leo.,1,390
391,Военное,fermentum justo,19,1,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0,391
392,Гражданское,pharetra magna ac,16,1,Proin interdum mauris non ligula pellentesque ultrices.,0,392
393,Военное,justo,48,0,Praesent blandit. Nam nulla.,1,393
394,Гражданское,vel ipsum,24,1,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,1,394
395,Гражданское,varius integer ac leo,16,0,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,1,395
396,Военное,sollicitudin,45,1,Curabitur at ipsum ac tellus semper interdum.,1,396
397,Гражданское,venenatis tristique,34,0,In quis justo.,0,397
398,Военное,dolor,13,0,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,398
399,Гражданское,eget vulputate ut,41,0,In hac habitasse platea dictumst.,1,399
400,Военное,at diam,36,1,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,400
401,Гражданское,nisl venenatis lacinia aenean,20,1,Vivamus tortor. Duis mattis egestas metus.,0,401
402,Военное,nibh fusce,43,1,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,402
403,Гражданское,ut blandit non,47,1,Sed accumsan felis. Ut at dolor quis odio consequat varius.,1,403
404,Гражданское,sem sed sagittis,39,1,Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque.,0,404
405,Военное,potenti in,17,0,Proin interdum mauris non ligula pellentesque ultrices. Phasellus id sapien in sapien iaculis congue.,1,405
406,Гражданское,nunc,4,0,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",1,406
407,Военное,magna ac,6,0,Vestibulum rutrum rutrum neque.,0,407
408,Военное,ultrices enim,41,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0,408
409,Военное,ultrices,25,0,Nulla facilisi.,0,409
410,Гражданское,tortor quis turpis sed,24,1,Proin interdum mauris non ligula pellentesque ultrices.,0,410
411,Военное,ac diam,34,1,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,0,411
412,Гражданское,volutpat dui maecenas tristique,46,1,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,0,412
413,Военное,in libero ut massa,38,1,Duis ac nibh.,1,413
414,Военное,purus,27,0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,414
415,Военное,id nisl venenatis,44,1,Ut tellus. Nulla ut erat id mauris vulputate elementum.,0,415
416,Гражданское,vestibulum aliquet,49,1,"Nam nulla. Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1,416
417,Военное,aliquam lacus,15,0,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0,417
418,Гражданское,ligula sit,14,1,Proin interdum mauris non ligula pellentesque ultrices.,0,418
419,Гражданское,duis aliquam convallis nunc,27,0,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,1,419
420,Военное,posuere nonummy integer,23,1,Nunc purus.,0,420
421,Гражданское,tincidunt lacus at velit,48,1,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,0,421
422,Военное,nullam molestie,7,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",0,422
423,Гражданское,molestie sed,26,0,In sagittis dui vel nisl.,0,423
424,Военное,morbi vel lectus,49,0,Phasellus in felis.,0,424
425,Гражданское,platea dictumst etiam faucibus,20,1,Nunc rhoncus dui vel sem. Sed sagittis.,1,425
426,Военное,luctus et ultrices,26,0,Duis bibendum. Morbi non quam nec dui luctus rutrum.,1,426
427,Военное,nulla,22,0,In hac habitasse platea dictumst.,0,427
428,Гражданское,congue etiam,7,0,Vestibulum sed magna at nunc commodo placerat.,1,428
429,Гражданское,ultrices erat tortor sollicitudin,9,0,Aenean lectus. Pellentesque eget nunc.,0,429
430,Военное,quis odio consequat,19,0,Aliquam quis turpis eget elit sodales scelerisque.,0,430
431,Военное,lacinia,2,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",1,431
432,Военное,lacinia erat,14,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",0,432
433,Военное,pede venenatis non,6,0,"Cras in purus eu magna vulputate luctus. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,433
434,Военное,primis in faucibus orci,35,0,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",0,434
435,Гражданское,pulvinar sed nisl,2,0,Proin risus.,0,435
436,Гражданское,erat id,30,1,Donec posuere metus vitae ipsum. Aliquam non mauris.,1,436
437,Военное,magna vestibulum aliquet ultrices,45,1,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,437
438,Военное,egestas,44,1,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1,438
439,Гражданское,maecenas,13,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,439
440,Гражданское,vestibulum ante ipsum,31,0,"Phasellus id sapien in sapien iaculis congue. Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",1,440
441,Военное,ultrices posuere cubilia,23,0,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1,441
442,Гражданское,lorem id ligula suspendisse,31,0,In congue. Etiam justo.,1,442
443,Военное,ut tellus nulla ut,29,1,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,443
444,Гражданское,potenti cras in,17,0,Etiam vel augue.,0,444
445,Военное,tempor convallis,13,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,0,445
446,Военное,lorem integer tincidunt,13,0,Suspendisse ornare consequat lectus.,1,446
447,Гражданское,ultricies,7,0,"In hac habitasse platea dictumst. Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0,447
448,Военное,sem,12,1,Proin eu mi.,1,448
449,Гражданское,in imperdiet,14,1,Cras in purus eu magna vulputate luctus.,0,449
450,Военное,vulputate justo,43,0,Vivamus tortor.,0,450
451,Гражданское,volutpat eleifend donec,27,0,Morbi a ipsum. Integer a nibh.,0,451
452,Военное,quis libero nullam,17,1,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",0,452
453,Военное,ultrices vel,24,0,Nulla mollis molestie lorem.,1,453
454,Гражданское,tellus,46,1,Ut tellus.,0,454
455,Гражданское,elementum nullam varius nulla,36,0,"In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",0,455
456,Военное,sapien non mi,12,1,"Cras pellentesque volutpat dui. Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",0,456
457,Военное,phasellus in felis donec,4,0,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,457
458,Гражданское,nullam molestie nibh in,27,1,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0,458
459,Военное,mattis odio donec vitae,13,0,Maecenas tincidunt lacus at velit.,0,459
460,Гражданское,pulvinar nulla,27,0,Nulla tempus.,0,460
461,Гражданское,molestie sed justo pellentesque,26,0,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",0,461
462,Гражданское,quam nec dui luctus,8,0,"Integer non velit. Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1,462
463,Гражданское,suspendisse accumsan tortor quis,26,1,Vivamus vestibulum sagittis sapien.,1,463
464,Военное,quisque id justo sit,38,0,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",0,464
465,Гражданское,duis bibendum morbi non,37,1,Nulla suscipit ligula in lacus.,0,465
466,Военное,est congue,26,0,Nullam varius. Nulla facilisi.,0,466
467,Военное,velit donec,33,0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",0,467
468,Военное,ultrices vel augue,49,0,Nulla justo.,1,468
469,Военное,quisque id,18,1,Maecenas ut massa quis augue luctus tincidunt.,1,469
470,Гражданское,nullam molestie,3,1,"Nunc nisl. Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",0,470
471,Гражданское,augue vel accumsan,46,0,Integer tincidunt ante vel ipsum.,0,471
472,Гражданское,aliquam sit amet,24,1,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",1,472
473,Гражданское,habitasse,33,1,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0,473
474,Гражданское,ultrices aliquet maecenas leo,17,0,"Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1,474
475,Военное,mattis nibh ligula,40,1,Nulla mollis molestie lorem. Quisque ut erat.,0,475
476,Военное,libero nullam sit amet,44,1,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque.",1,476
477,Военное,in hac habitasse platea,24,0,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,1,477
478,Военное,curae donec pharetra,37,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1,478
479,Гражданское,gravida sem,27,1,Nulla facilisi.,0,479
480,Гражданское,leo odio condimentum,46,0,Morbi porttitor lorem id ligula.,0,480
481,Военное,in,4,0,Praesent id massa id nisl venenatis lacinia.,1,481
482,Военное,mauris laoreet ut,49,0,Vivamus in felis eu sapien cursus vestibulum.,1,482
483,Гражданское,amet justo,24,0,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0,483
484,Гражданское,semper,3,0,Proin interdum mauris non ligula pellentesque ultrices.,1,484
485,Военное,vestibulum quam sapien varius,38,1,Maecenas tincidunt lacus at velit.,0,485
486,Военное,nascetur ridiculus,36,1,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",0,486
487,Военное,lectus,21,1,In blandit ultrices enim.,0,487
488,Гражданское,maecenas,5,0,Suspendisse accumsan tortor quis turpis. Sed ante.,0,488
489,Военное,bibendum felis sed,39,0,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0,489
490,Военное,urna ut tellus nulla,47,0,Nullam porttitor lacus at turpis.,0,490
491,Гражданское,luctus,21,1,Morbi non lectus.,0,491
492,Гражданское,habitasse platea dictumst aliquam,24,1,Vivamus vestibulum sagittis sapien.,1,492
493,Военное,nulla mollis molestie lorem,23,1,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",0,493
494,Военное,vulputate nonummy,39,0,Donec ut dolor.,0,494
495,Гражданское,at velit vivamus vel,27,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Vivamus vestibulum sagittis sapien.",1,495
496,Военное,risus auctor,44,1,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",1,496
497,Военное,aliquet ultrices,50,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0,497
498,Гражданское,mauris,4,1,Phasellus id sapien in sapien iaculis congue.,1,498
499,Военное,lectus in est,30,0,Nullam molestie nibh in lectus. Pellentesque at nulla.,0,499
500,Гражданское,sapien iaculis congue vivamus,4,1,Morbi vel lectus in quam fringilla rhoncus.,0,500
501,Военное,consectetuer,47,0,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Etiam vel augue.",0,501
502,Гражданское,augue vestibulum,2,1,In hac habitasse platea dictumst.,1,502
503,Военное,augue quam,22,0,Curabitur gravida nisi at nibh.,0,503
504,Военное,ut blandit non interdum,2,1,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,0,504
505,Гражданское,ultrices aliquet maecenas,17,1,Vestibulum rutrum rutrum neque. Aenean auctor gravida sem.,0,505
506,Гражданское,tincidunt ante vel ipsum,28,0,Nunc rhoncus dui vel sem. Sed sagittis.,0,506
507,Военное,velit vivamus vel,18,0,Aliquam erat volutpat. In congue.,1,507
508,Гражданское,eget tempus,17,0,Morbi a ipsum.,1,508
509,Военное,posuere cubilia curae donec,37,0,Praesent id massa id nisl venenatis lacinia.,0,509
510,Гражданское,mauris morbi,45,1,Curabitur at ipsum ac tellus semper interdum.,0,510
511,Гражданское,in,30,0,In hac habitasse platea dictumst.,0,511
512,Военное,lectus vestibulum quam,41,1,Proin risus. Praesent lectus.,0,512
513,Военное,nisl,3,1,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo. In blandit ultrices enim.",0,513
514,Военное,venenatis lacinia aenean sit,50,1,Fusce consequat. Nulla nisl.,1,514
515,Военное,volutpat dui maecenas,31,1,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,0,515
516,Военное,turpis eget,8,1,Phasellus in felis.,1,516
517,Военное,amet eleifend pede,40,1,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,0,517
518,Гражданское,vulputate justo in,48,1,Curabitur at ipsum ac tellus semper interdum. Mauris ullamcorper purus sit amet nulla.,0,518
519,Гражданское,cubilia curae donec,12,0,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",0,519
520,Военное,sit amet nulla,10,1,Sed accumsan felis.,1,520
521,Гражданское,est,5,0,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",1,521
522,Гражданское,ipsum,32,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,0,522
523,Военное,ornare,10,1,Ut tellus.,1,523
524,Гражданское,magna bibendum,29,1,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1,524
525,Военное,lectus pellentesque eget nunc,21,0,"In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",1,525
526,Военное,felis,29,0,Curabitur at ipsum ac tellus semper interdum.,1,526
527,Военное,est,14,1,Nulla tellus.,0,527
528,Гражданское,non interdum,13,0,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",0,528
529,Военное,orci luctus et ultrices,2,1,Sed accumsan felis.,1,529
530,Военное,nulla sed accumsan,3,0,Nulla tempus.,0,530
531,Военное,magnis,45,1,Integer ac neque.,1,531
