id,Производитель,Загруженность,Состояние,Тип,Номер модели,id_Hangar
429,Airbus,61,Удовлетворительное,Пассажирский,723-09-7496,429
430,Boeing,10,Неудовлетворительное,Грузовой,690-58-7293,430
431,ОАК,78,Хорошее,Пассажирский,739-30-6726,431
432,Kawasaki,11,Хорошее,Грузовой,215-17-3661,432
433,Туполев,52,Ну такое,Пассажирский,544-86-5882,433
434,Boeing,15,Удовлетворительное,Пассажирский,535-76-8607,434
435,Boeing,98,Хорошее,Пассажирский,828-09-8395,435
436,Kawasaki,96,Идеальное,Пассажирский,338-13-7525,436
437,Туполев,93,Хорошее,Грузовой,346-24-7312,437
438,Kawasaki,73,Неудовлетворительное,Грузовой,528-57-2287,438
439,ОАК,89,Удовлетворительное,Пассажирский,251-55-5683,439
440,Kawasaki,0,Хорошее,Пассажирский,188-08-0381,440
441,Lockheed,65,Хорошее,Пассажирский,258-73-9053,441
442,Kawasaki,58,Удовлетворительное,Грузовой,826-61-5132,442
443,Kawasaki,6,Неудовлетворительное,Грузовой,534-95-8934,443
444,Туполев,27,Ну такое,Грузовой,807-80-0278,444
445,Туполев,69,Неудовлетворительное,Пассажирский,525-38-0794,445
446,Airbus,54,Ну такое,Грузовой,493-18-4692,446
447,Туполев,37,Хорошее,Пассажирский,808-71-1913,447
448,Lockheed,9,Идеальное,Грузовой,266-68-0138,448
449,Lockheed,100,Ну такое,Пассажирский,766-33-4255,449
450,Lockheed,8,Неудовлетворительное,Грузовой,116-42-7015,450
451,Туполев,2,Неудовлетворительное,Грузовой,753-37-8796,451
452,Туполев,21,Неудовлетворительное,Грузовой,359-52-7135,452
453,Kawasaki,21,Ну такое,Грузовой,247-91-0045,453
454,Boeing,61,Удовлетворительное,Пассажирский,556-96-0514,454
455,Airbus,36,Идеальное,Пассажирский,831-35-6734,455
456,Airbus,26,Ну такое,Пассажирский,734-45-0542,456
457,Airbus,77,Ну такое,Грузовой,844-92-3361,457
458,Туполев,80,Удовлетворительное,Грузовой,714-34-5301,458
459,Airbus,24,Хорошее,Грузовой,672-66-5780,459
460,Туполев,82,Хорошее,Пассажирский,214-76-2914,460
461,Boeing,95,Хорошее,Пассажирский,460-90-7102,461
462,Lockheed,12,Ну такое,Пассажирский,312-01-1336,462
463,Туполев,69,Неудовлетворительное,Грузовой,401-43-2998,463
464,Boeing,87,Удовлетворительное,Грузовой,525-47-8630,464
465,ОАК,39,Хорошее,Пассажирский,601-36-0111,465
466,Туполев,71,Ну такое,Грузовой,478-94-9410,466
467,Lockheed,97,Неудовлетворительное,Пассажирский,452-31-8927,467
468,Lockheed,75,Идеальное,Пассажирский,342-31-5742,468
469,Boeing,12,Идеальное,Пассажирский,411-14-0663,469
470,Airbus,100,Ну такое,Грузовой,755-44-7704,470
471,ОАК,1,Неудовлетворительное,Грузовой,671-67-3971,471
472,Airbus,78,Идеальное,Грузовой,184-85-4398,472
473,Airbus,96,Хорошее,Грузовой,748-58-5842,473
474,ОАК,46,Неудовлетворительное,Пассажирский,288-26-7765,474
475,Boeing,54,Неудовлетворительное,Грузовой,507-37-5305,475
476,ОАК,94,Хорошее,Грузовой,492-16-1013,476
477,Туполев,19,Хорошее,Грузовой,546-77-0860,477
478,Туполев,41,Ну такое,Пассажирский,164-06-0244,478
479,ОАК,38,Неудовлетворительное,Грузовой,145-69-9881,479
480,Airbus,83,Неудовлетворительное,Пассажирский,591-68-4297,480
481,Kawasaki,64,Хорошее,Пассажирский,509-97-0653,481
482,ОАК,63,Неудовлетворительное,Грузовой,382-35-2977,482
483,ОАК,21,Ну такое,Грузовой,257-97-6655,483
484,Kawasaki,33,Ну такое,Грузовой,737-18-4311,484
485,ОАК,11,Хорошее,Грузовой,263-20-4461,485
486,Kawasaki,93,Ну такое,Грузовой,156-73-5401,486
487,Lockheed,1,Неудовлетворительное,Грузовой,581-49-8456,487
488,ОАК,82,Ну такое,Пассажирский,590-36-1968,488
489,ОАК,29,Удовлетворительное,Грузовой,617-90-4545,489
490,Lockheed,60,Ну такое,Пассажирский,544-85-6489,490
491,Lockheed,52,Идеальное,Грузовой,195-10-3139,491
492,Kawasaki,85,Неудовлетворительное,Пассажирский,592-61-2770,492
493,Lockheed,17,Хорошее,Грузовой,750-44-8405,493
494,Lockheed,88,Хорошее,Пассажирский,487-15-2521,494
495,Airbus,45,Идеальное,Грузовой,136-06-9491,495
496,Lockheed,23,Идеальное,Пассажирский,798-21-7456,496
497,Airbus,95,Идеальное,Грузовой,751-83-6214,497
498,Airbus,49,Идеальное,Грузовой,835-55-7767,498
499,ОАК,78,Неудовлетворительное,Грузовой,383-86-2407,499
500,Lockheed,28,Неудовлетворительное,Грузовой,514-68-7355,500
501,Lockheed,49,Неудовлетворительное,Пассажирский,726-65-6638,501
502,Airbus,55,Неудовлетворительное,Грузовой,605-23-5072,502
503,Boeing,95,Ну такое,Пассажирский,471-90-6453,503
504,Kawasaki,74,Идеальное,Грузовой,687-89-4024,504
505,Lockheed,1,Хорошее,Пассажирский,793-36-0036,505
506,Airbus,14,Идеальное,Грузовой,483-51-0109,506
507,Airbus,6,Удовлетворительное,Пассажирский,714-03-3306,507
508,Туполев,86,Неудовлетворительное,Пассажирский,392-42-2235,508
509,Туполев,33,Ну такое,Пассажирский,697-48-5451,509
510,Туполев,74,Неудовлетворительное,Грузовой,660-24-2328,510
511,Airbus,59,Идеальное,Пассажирский,204-31-0027,511
512,Туполев,90,Идеальное,Пассажирский,683-52-5681,512
513,Kawasaki,6,Ну такое,Грузовой,771-38-5689,513
514,Airbus,6,Неудовлетворительное,Грузовой,547-50-6666,514
515,Lockheed,60,Идеальное,Грузовой,728-88-9076,515
516,Kawasaki,13,Хорошее,Грузовой,861-74-4988,516
517,Туполев,68,Удовлетворительное,Пассажирский,815-22-6743,517
518,Boeing,81,Ну такое,Грузовой,446-01-1924,518
519,ОАК,89,Хорошее,Пассажирский,613-53-3477,519
520,Lockheed,78,Ну такое,Грузовой,845-92-8882,520
521,Kawasaki,57,Идеальное,Грузовой,323-42-3919,521
522,Туполев,74,Ну такое,Пассажирский,818-74-9712,522
523,ОАК,71,Неудовлетворительное,Грузовой,371-17-5833,523
524,Lockheed,35,Идеальное,Грузовой,736-51-2368,524
525,Lockheed,90,Идеальное,Грузовой,609-58-9026,525
526,ОАК,34,Ну такое,Грузовой,200-72-2385,526
527,ОАК,93,Неудовлетворительное,Пассажирский,687-50-7215,527
528,Kawasaki,13,Идеальное,Пассажирский,650-81-2878,528
529,Туполев,14,Неудовлетворительное,Грузовой,353-65-5902,529
530,Airbus,25,Хорошее,Пассажирский,677-88-3601,530
531,Airbus,52,Ну такое,Пассажирский,161-24-5310,531
532,Туполев,10,Идеальное,Грузовой,786-16-2279,532
533,Airbus,21,Неудовлетворительное,Грузовой,881-59-5904,533
534,Boeing,47,Хорошее,Грузовой,117-04-6437,534
535,Туполев,72,Ну такое,Пассажирский,877-28-2258,535
536,Туполев,93,Неудовлетворительное,Пассажирский,170-53-5481,536
537,Boeing,66,Неудовлетворительное,Пассажирский,137-36-8152,537
538,Airbus,53,Неудовлетворительное,Пассажирский,892-50-0149,538
539,ОАК,31,Удовлетворительное,Грузовой,817-96-9536,539
540,Kawasaki,90,Ну такое,Пассажирский,752-83-0127,540
541,Туполев,62,Ну такое,Пассажирский,178-35-8430,541
542,Lockheed,45,Неудовлетворительное,Пассажирский,846-46-9179,542
543,ОАК,65,Удовлетворительное,Грузовой,851-04-9114,543
544,Туполев,81,Удовлетворительное,Грузовой,395-63-2493,544
545,Lockheed,42,Ну такое,Пассажирский,340-94-3435,545
546,Kawasaki,2,Ну такое,Пассажирский,585-69-2248,546
547,Туполев,45,Удовлетворительное,Грузовой,160-16-2022,547
548,Boeing,29,Хорошее,Грузовой,494-04-4507,548
549,Kawasaki,79,Хорошее,Пассажирский,616-61-4730,549
550,ОАК,66,Неудовлетворительное,Грузовой,356-90-5030,550
551,ОАК,77,Хорошее,Пассажирский,458-04-7031,551
552,Kawasaki,63,Удовлетворительное,Пассажирский,451-31-6675,552
553,Airbus,53,Ну такое,Грузовой,530-41-2319,553
554,Kawasaki,3,Хорошее,Пассажирский,798-51-9802,554
555,ОАК,19,Ну такое,Пассажирский,847-13-4464,555
556,Airbus,33,Неудовлетворительное,Грузовой,616-09-1392,556
557,Kawasaki,81,Ну такое,Пассажирский,505-83-9526,557
558,ОАК,13,Удовлетворительное,Пассажирский,494-91-3811,558
559,ОАК,79,Хорошее,Грузовой,116-61-8122,559
560,Lockheed,82,Ну такое,Пассажирский,541-42-2902,560
561,Kawasaki,32,Ну такое,Грузовой,773-07-6498,561
562,Lockheed,7,Удовлетворительное,Пассажирский,367-67-5555,562
563,ОАК,82,Хорошее,Пассажирский,885-25-4703,563
564,ОАК,39,Хорошее,Грузовой,336-12-6140,564
565,ОАК,97,Неудовлетворительное,Пассажирский,534-34-5684,565
566,Airbus,0,Неудовлетворительное,Пассажирский,425-64-7556,566
567,ОАК,36,Неудовлетворительное,Пассажирский,251-96-4303,567
568,Airbus,99,Ну такое,Грузовой,178-06-3059,568
569,Boeing,60,Идеальное,Грузовой,222-66-7020,569
570,ОАК,46,Удовлетворительное,Пассажирский,221-12-2677,570
571,Kawasaki,73,Хорошее,Грузовой,472-85-9068,571
572,ОАК,2,Неудовлетворительное,Пассажирский,207-76-2693,572
573,Boeing,71,Хорошее,Пассажирский,652-56-5272,573
574,Boeing,64,Неудовлетворительное,Пассажирский,393-25-4285,574
575,Туполев,49,Идеальное,Грузовой,598-67-7234,575
576,ОАК,23,Хорошее,Пассажирский,452-60-9477,576
577,Туполев,30,Удовлетворительное,Пассажирский,367-22-0577,577
578,Boeing,65,Ну такое,Грузовой,260-16-0690,578
579,Boeing,92,Хорошее,Грузовой,205-24-4691,579
580,Kawasaki,88,Ну такое,Пассажирский,163-95-4459,580
581,ОАК,62,Идеальное,Пассажирский,615-07-5830,581
582,Boeing,90,Хорошее,Грузовой,767-82-3216,582
583,Kawasaki,0,Идеальное,Грузовой,865-89-1466,583
584,Lockheed,25,Ну такое,Грузовой,390-14-1186,584
585,Kawasaki,96,Ну такое,Грузовой,836-42-4846,585
586,Airbus,50,Ну такое,Пассажирский,242-90-4501,586
587,Lockheed,84,Удовлетворительное,Грузовой,728-01-6249,587
588,ОАК,31,Идеальное,Пассажирский,525-90-7822,588
589,Airbus,99,Хорошее,Грузовой,770-67-0650,589
590,ОАК,14,Ну такое,Грузовой,835-67-0093,590
591,Туполев,87,Хорошее,Грузовой,401-90-1687,591
592,Kawasaki,18,Хорошее,Пассажирский,419-05-3400,592
593,Lockheed,61,Ну такое,Пассажирский,320-98-5975,593
594,Boeing,95,Неудовлетворительное,Пассажирский,860-13-7609,594
595,Туполев,81,Неудовлетворительное,Пассажирский,525-37-5959,595
596,ОАК,22,Идеальное,Грузовой,237-29-1225,596
597,Туполев,2,Хорошее,Грузовой,534-83-6194,597
598,Lockheed,80,Удовлетворительное,Грузовой,858-30-3508,598
599,Lockheed,70,Удовлетворительное,Пассажирский,396-53-4619,599
600,Туполев,80,Ну такое,Грузовой,365-27-6228,600
601,ОАК,64,Удовлетворительное,Грузовой,368-47-6335,601
602,Boeing,39,Неудовлетворительное,Пассажирский,646-76-7947,602
603,Kawasaki,1,Хорошее,Пассажирский,797-26-2581,603
604,Boeing,30,Неудовлетворительное,Грузовой,588-86-0376,604
605,Туполев,63,Хорошее,Грузовой,458-70-8184,605
606,Boeing,31,Удовлетворительное,Пассажирский,460-58-8128,606
607,Туполев,90,Идеальное,Пассажирский,191-01-8014,607
608,Lockheed,9,Ну такое,Грузовой,575-11-7688,608
609,Kawasaki,23,Неудовлетворительное,Пассажирский,140-39-4807,609
610,Boeing,21,Хорошее,Грузовой,856-47-1861,610
611,Kawasaki,1,Хорошее,Пассажирский,512-11-6330,611
612,Boeing,78,Хорошее,Грузовой,618-24-1383,612
613,Туполев,3,Хорошее,Грузовой,553-16-4634,613
614,Туполев,28,Идеальное,Грузовой,346-22-6662,614
615,Airbus,71,Ну такое,Грузовой,645-29-2714,615
616,Kawasaki,14,Идеальное,Грузовой,396-27-1801,616
617,Kawasaki,27,Удовлетворительное,Пассажирский,521-86-0437,617
618,Lockheed,20,Идеальное,Грузовой,637-67-2057,618
619,Kawasaki,46,Неудовлетворительное,Грузовой,838-05-1108,619
620,Lockheed,28,Идеальное,Грузовой,226-36-5463,620
621,ОАК,41,Идеальное,Пассажирский,875-67-8219,621
622,Boeing,3,Идеальное,Грузовой,652-57-6805,622
623,Boeing,66,Неудовлетворительное,Грузовой,321-09-1167,623
624,Lockheed,17,Идеальное,Грузовой,329-59-9792,624
625,Туполев,49,Идеальное,Пассажирский,163-89-0607,625
626,ОАК,62,Хорошее,Грузовой,321-33-8769,626
627,Kawasaki,27,Хорошее,Грузовой,353-83-5064,627
628,Boeing,73,Неудовлетворительное,Пассажирский,296-60-1252,628
629,Kawasaki,74,Ну такое,Грузовой,445-24-1980,629
630,Lockheed,88,Удовлетворительное,Грузовой,858-93-4303,630
631,Boeing,20,Идеальное,Грузовой,418-42-1395,631
632,Lockheed,31,Идеальное,Грузовой,847-68-6233,632
633,Kawasaki,8,Хорошее,Пассажирский,834-35-1105,633
634,Airbus,2,Идеальное,Грузовой,818-03-0671,634
635,Boeing,35,Неудовлетворительное,Пассажирский,564-19-3449,635
636,Туполев,16,Удовлетворительное,Пассажирский,688-19-9933,636
637,ОАК,59,Хорошее,Грузовой,196-14-2060,637
638,Airbus,29,Ну такое,Грузовой,483-20-3853,638
639,Lockheed,54,Ну такое,Грузовой,192-77-6772,639
640,ОАК,25,Ну такое,Пассажирский,515-70-1746,640
641,Kawasaki,3,Хорошее,Грузовой,255-07-3593,641
642,Kawasaki,58,Ну такое,Пассажирский,498-68-5724,642
643,Airbus,94,Удовлетворительное,Грузовой,127-03-5564,643
644,Boeing,64,Идеальное,Грузовой,755-24-8067,644
645,Lockheed,34,Идеальное,Грузовой,388-98-3133,645
646,ОАК,18,Неудовлетворительное,Пассажирский,796-44-4323,646
647,Airbus,7,Идеальное,Грузовой,572-14-7947,647
648,Kawasaki,64,Удовлетворительное,Грузовой,236-41-4083,648
649,Boeing,79,Идеальное,Грузовой,862-56-2533,649
650,Lockheed,4,Ну такое,Грузовой,723-49-3575,650
651,Туполев,35,Неудовлетворительное,Грузовой,529-64-1578,651
652,ОАК,60,Идеальное,Грузовой,237-21-1121,652
653,ОАК,21,Ну такое,Пассажирский,595-06-9445,653
654,Boeing,0,Ну такое,Пассажирский,202-69-9784,654
655,Lockheed,75,Неудовлетворительное,Грузовой,868-82-0011,655
656,Boeing,7,Удовлетворительное,Пассажирский,795-84-0534,656
657,Airbus,39,Неудовлетворительное,Грузовой,599-73-9209,657
658,Lockheed,33,Хорошее,Грузовой,347-49-3307,658
659,ОАК,93,Идеальное,Пассажирский,789-22-9242,659
660,ОАК,56,Неудовлетворительное,Грузовой,466-40-9867,660
661,Kawasaki,97,Удовлетворительное,Пассажирский,720-39-6516,661
662,Airbus,34,Удовлетворительное,Пассажирский,564-78-6355,662
663,Boeing,34,Хорошее,Пассажирский,160-85-3238,663
664,Lockheed,15,Неудовлетворительное,Грузовой,229-82-4478,664
665,ОАК,22,Удовлетворительное,Пассажирский,110-70-3641,665
666,Airbus,3,Хорошее,Пассажирский,395-23-0561,666
667,Airbus,57,Удовлетворительное,Пассажирский,181-87-8824,667
668,Туполев,19,Удовлетворительное,Пассажирский,134-26-5950,668
669,Kawasaki,45,Неудовлетворительное,Грузовой,820-65-8558,669
670,Kawasaki,93,Удовлетворительное,Пассажирский,136-46-2421,670
671,Boeing,22,Ну такое,Грузовой,797-55-7854,671
672,ОАК,53,Удовлетворительное,Грузовой,102-60-0559,672
673,Туполев,33,Идеальное,Грузовой,742-78-3874,673
674,Kawasaki,86,Ну такое,Грузовой,797-90-8103,674
675,Туполев,21,Хорошее,Пассажирский,153-26-2786,675
676,Boeing,73,Хорошее,Грузовой,742-24-8881,676
677,Туполев,0,Удовлетворительное,Грузовой,428-51-3513,677
678,Airbus,30,Неудовлетворительное,Пассажирский,292-21-1659,678
679,Lockheed,69,Ну такое,Пассажирский,686-46-7506,679
680,ОАК,17,Удовлетворительное,Пассажирский,372-29-6102,680
681,Lockheed,87,Ну такое,Грузовой,172-13-9070,681
682,Boeing,1,Удовлетворительное,Пассажирский,636-51-6169,682
683,Lockheed,5,Идеальное,Пассажирский,306-13-8705,683
684,Boeing,53,Ну такое,Грузовой,765-09-7585,684
685,Туполев,21,Идеальное,Грузовой,891-66-9242,685
686,Туполев,57,Идеальное,Пассажирский,733-70-8994,686
687,Airbus,41,Неудовлетворительное,Пассажирский,882-59-6468,687
688,Kawasaki,2,Ну такое,Пассажирский,631-89-1060,688
689,Boeing,10,Ну такое,Грузовой,679-96-6932,689
690,Kawasaki,7,Неудовлетворительное,Пассажирский,647-47-7578,690
691,Туполев,37,Неудовлетворительное,Грузовой,265-79-8647,691
692,Lockheed,48,Идеальное,Грузовой,529-15-6711,692
693,Airbus,90,Удовлетворительное,Пассажирский,469-89-4146,693
694,Airbus,73,Хорошее,Пассажирский,489-63-9226,694
695,Boeing,33,Неудовлетворительное,Грузовой,182-98-4205,695
696,Boeing,11,Хорошее,Пассажирский,647-38-5979,696
697,Lockheed,15,Ну такое,Пассажирский,368-26-7693,697
698,ОАК,93,Хорошее,Грузовой,148-87-0377,698
699,ОАК,45,Хорошее,Грузовой,701-08-1063,699
700,Boeing,99,Неудовлетворительное,Грузовой,112-40-0213,700
701,Kawasaki,85,Идеальное,Пассажирский,311-26-9425,701
702,ОАК,0,Идеальное,Грузовой,406-77-1799,702
703,ОАК,100,Неудовлетворительное,Пассажирский,831-32-7772,703
704,Туполев,91,Удовлетворительное,Грузовой,292-22-4737,704
705,Kawasaki,23,Хорошее,Грузовой,295-07-1909,705
706,Airbus,69,Ну такое,Пассажирский,780-46-8064,706
707,ОАК,89,Ну такое,Грузовой,717-93-1888,707
708,Туполев,63,Ну такое,Пассажирский,613-93-7984,708
709,ОАК,39,Ну такое,Пассажирский,834-95-4261,709
710,Lockheed,92,Удовлетворительное,Грузовой,430-20-4856,710
711,Lockheed,53,Ну такое,Пассажирский,649-84-2532,711
712,Kawasaki,71,Удовлетворительное,Грузовой,294-24-6142,712
713,Kawasaki,74,Хорошее,Грузовой,777-76-2378,713
714,Boeing,61,Ну такое,Пассажирский,897-46-9306,714
715,Airbus,63,Ну такое,Грузовой,637-96-5098,715
716,Туполев,44,Хорошее,Пассажирский,130-09-6169,716
717,Туполев,82,Идеальное,Пассажирский,692-41-1837,717
718,Airbus,93,Идеальное,Грузовой,414-86-2430,718
719,Airbus,15,Хорошее,Грузовой,378-27-4640,719
720,Kawasaki,18,Ну такое,Грузовой,433-47-7642,720
721,Туполев,17,Ну такое,Пассажирский,895-06-6239,721
722,Airbus,24,Удовлетворительное,Пассажирский,518-90-4350,722
723,Lockheed,57,Неудовлетворительное,Пассажирский,620-81-6300,723
724,Kawasaki,88,Удовлетворительное,Пассажирский,710-62-0818,724
725,Туполев,33,Удовлетворительное,Грузовой,450-27-3223,725
726,Туполев,43,Хорошее,Пассажирский,850-10-6420,726
727,Туполев,65,Неудовлетворительное,Грузовой,770-76-2135,727
728,Airbus,98,Ну такое,Грузовой,393-44-5161,728
729,Kawasaki,20,Идеальное,Пассажирский,207-61-3280,729
730,Kawasaki,13,Удовлетворительное,Грузовой,428-16-7329,730
731,ОАК,39,Неудовлетворительное,Пассажирский,130-81-1071,731
732,Kawasaki,83,Неудовлетворительное,Грузовой,446-29-1014,732
733,Туполев,90,Удовлетворительное,Грузовой,215-87-5174,733
734,Lockheed,86,Неудовлетворительное,Пассажирский,330-68-6603,734
735,Lockheed,4,Ну такое,Пассажирский,627-39-3599,735
736,Lockheed,73,Хорошее,Пассажирский,392-01-5491,736
737,Airbus,89,Удовлетворительное,Грузовой,608-48-4236,737
738,ОАК,13,Хорошее,Пассажирский,291-72-3426,738
739,Airbus,58,Идеальное,Пассажирский,215-72-7495,739
740,Kawasaki,4,Неудовлетворительное,Грузовой,732-61-1820,740
741,ОАК,66,Удовлетворительное,Грузовой,602-97-0065,741
742,ОАК,16,Ну такое,Грузовой,243-38-5289,742
743,Airbus,41,Хорошее,Пассажирский,637-14-1670,743
744,Boeing,37,Удовлетворительное,Пассажирский,577-75-8809,744
745,ОАК,14,Удовлетворительное,Пассажирский,435-60-2883,745
746,Airbus,5,Удовлетворительное,Грузовой,568-48-5576,746
747,Lockheed,46,Хорошее,Пассажирский,170-32-3635,747
748,Boeing,62,Неудовлетворительное,Грузовой,156-05-9122,748
749,ОАК,99,Удовлетворительное,Грузовой,535-49-1234,749
750,ОАК,75,Идеальное,Пассажирский,428-92-7586,750
751,Kawasaki,2,Ну такое,Грузовой,501-95-6544,751
752,Туполев,28,Неудовлетворительное,Пассажирский,233-11-7041,752
753,Lockheed,22,Идеальное,Пассажирский,408-88-3157,753
754,Lockheed,5,Неудовлетворительное,Грузовой,512-13-5451,754
755,Kawasaki,86,Хорошее,Пассажирский,346-32-7831,755
756,Туполев,3,Неудовлетворительное,Грузовой,107-84-7606,756
757,Boeing,93,Идеальное,Грузовой,613-82-7966,757
758,Туполев,55,Неудовлетворительное,Грузовой,106-74-8639,758
759,Kawasaki,0,Идеальное,Пассажирский,195-37-8400,759
760,Туполев,95,Удовлетворительное,Грузовой,423-80-5980,760
761,Туполев,25,Хорошее,Пассажирский,775-75-0495,761
762,Туполев,14,Идеальное,Грузовой,413-51-2671,762
763,ОАК,72,Удовлетворительное,Пассажирский,638-28-1084,763
764,ОАК,97,Неудовлетворительное,Пассажирский,697-73-7751,764
765,ОАК,41,Неудовлетворительное,Грузовой,126-38-7647,765
766,Boeing,47,Хорошее,Грузовой,817-14-5032,766
767,ОАК,62,Хорошее,Грузовой,199-81-4964,767
768,Kawasaki,4,Неудовлетворительное,Грузовой,578-48-7477,768
769,Lockheed,35,Неудовлетворительное,Грузовой,189-79-6916,769
770,ОАК,69,Удовлетворительное,Грузовой,389-03-6788,770
771,Lockheed,12,Идеальное,Грузовой,731-40-6277,771
772,Kawasaki,100,Хорошее,Грузовой,420-70-1483,772
773,ОАК,64,Неудовлетворительное,Пассажирский,644-24-2498,773
774,Airbus,5,Хорошее,Пассажирский,682-94-4035,774
775,Airbus,94,Ну такое,Пассажирский,558-22-9502,775
776,Airbus,4,Неудовлетворительное,Пассажирский,606-84-6472,776
777,ОАК,83,Хорошее,Пассажирский,112-08-0618,777
778,Airbus,92,Хорошее,Грузовой,184-39-6691,778
779,Туполев,2,Удовлетворительное,Грузовой,645-59-6874,779
780,Boeing,88,Удовлетворительное,Пассажирский,113-04-1265,780
781,ОАК,47,Хорошее,Пассажирский,391-14-4682,781
782,Airbus,73,Неудовлетворительное,Грузовой,172-42-9951,782
783,Kawasaki,50,Хорошее,Грузовой,895-99-9864,783
784,ОАК,84,Неудовлетворительное,Пассажирский,371-28-2839,784
785,Kawasaki,76,Неудовлетворительное,Пассажирский,374-39-1980,785
786,ОАК,16,Идеальное,Грузовой,309-47-1332,786
787,Kawasaki,92,Идеальное,Пассажирский,644-33-5949,787
788,Lockheed,78,Неудовлетворительное,Грузовой,319-32-8395,788
789,Туполев,25,Удовлетворительное,Грузовой,490-03-2951,789
790,Kawasaki,7,Идеальное,Пассажирский,513-50-3698,790
791,ОАК,79,Хорошее,Пассажирский,679-22-7215,791
792,Kawasaki,57,Идеальное,Пассажирский,645-46-2231,792
793,Boeing,52,Неудовлетворительное,Пассажирский,861-12-4800,793
794,Airbus,43,Удовлетворительное,Пассажирский,714-42-0997,794
795,Туполев,2,Неудовлетворительное,Пассажирский,295-86-2097,795
796,Boeing,79,Хорошее,Грузовой,448-37-7788,796
797,ОАК,84,Хорошее,Грузовой,786-38-4026,797
798,Airbus,99,Ну такое,Пассажирский,521-71-3405,798
799,ОАК,91,Идеальное,Грузовой,492-66-0924,799
800,Boeing,16,Идеальное,Пассажирский,877-34-0146,800
801,Airbus,0,Идеальное,Пассажирский,251-85-1747,801
802,Туполев,33,Идеальное,Пассажирский,403-34-5141,802
803,Туполев,42,Хорошее,Грузовой,593-79-9766,803
804,Boeing,85,Удовлетворительное,Пассажирский,251-22-0739,804
805,Туполев,87,Ну такое,Пассажирский,791-15-3357,805
806,Lockheed,46,Удовлетворительное,Пассажирский,200-94-0846,806
807,Kawasaki,39,Ну такое,Грузовой,265-17-6345,807
808,Boeing,8,Идеальное,Грузовой,353-63-0075,808
809,Туполев,78,Хорошее,Пассажирский,341-29-6602,809
810,Airbus,14,Идеальное,Пассажирский,166-51-6514,810
811,Airbus,81,Ну такое,Грузовой,725-04-2640,811
812,Lockheed,12,Неудовлетворительное,Грузовой,345-81-2890,812
813,Airbus,60,Идеальное,Пассажирский,195-08-7550,813
814,Туполев,87,Ну такое,Пассажирский,845-95-4009,814
815,Kawasaki,65,Хорошее,Грузовой,379-67-1536,815
816,Airbus,65,Хорошее,Грузовой,626-57-2607,816
817,ОАК,66,Хорошее,Пассажирский,530-34-0464,817
818,Airbus,44,Идеальное,Грузовой,500-75-0806,818
819,Airbus,97,Ну такое,Грузовой,391-11-3311,819
820,Airbus,89,Идеальное,Грузовой,761-50-9743,820
821,Туполев,96,Ну такое,Пассажирский,605-44-2189,821
822,Airbus,81,Неудовлетворительное,Пассажирский,364-97-0780,822
823,ОАК,16,Ну такое,Пассажирский,327-52-3028,823
824,Kawasaki,39,Ну такое,Грузовой,335-40-4499,824
825,Kawasaki,2,Хорошее,Пассажирский,371-57-3630,825
826,Туполев,74,Ну такое,Пассажирский,150-74-5048,826
827,Lockheed,74,Идеальное,Пассажирский,770-13-6164,827
828,Lockheed,20,Неудовлетворительное,Пассажирский,463-14-3781,828
829,Airbus,90,Ну такое,Грузовой,601-70-8472,829
830,Kawasaki,70,Ну такое,Пассажирский,803-51-2324,830
831,Kawasaki,37,Неудовлетворительное,Пассажирский,158-84-9420,831
832,Boeing,83,Ну такое,Грузовой,520-73-2630,832
833,Boeing,38,Удовлетворительное,Грузовой,336-91-1193,833
834,Boeing,71,Неудовлетворительное,Пассажирский,467-94-8525,834
835,Туполев,30,Удовлетворительное,Грузовой,349-52-5769,835
836,Туполев,75,Неудовлетворительное,Пассажирский,159-57-8818,836
837,Airbus,25,Идеальное,Пассажирский,424-86-5106,837
838,Boeing,41,Удовлетворительное,Пассажирский,330-20-9505,838
839,Airbus,33,Идеальное,Грузовой,581-07-2268,839
840,Lockheed,11,Неудовлетворительное,Пассажирский,555-47-8618,840
841,Boeing,28,Идеальное,Пассажирский,808-86-0552,841
842,Lockheed,60,Ну такое,Пассажирский,518-22-7163,842
843,Lockheed,11,Идеальное,Пассажирский,660-09-9668,843
844,Lockheed,62,Удовлетворительное,Пассажирский,544-17-9720,844
845,Туполев,4,Неудовлетворительное,Пассажирский,629-55-6926,845
846,Туполев,64,Удовлетворительное,Грузовой,463-36-7611,846
847,Туполев,87,Хорошее,Пассажирский,479-01-7072,847
848,Boeing,79,Удовлетворительное,Грузовой,720-52-7273,848
849,Airbus,41,Хорошее,Пассажирский,346-10-9270,849
850,Lockheed,27,Ну такое,Пассажирский,500-12-1423,850
851,ОАК,99,Удовлетворительное,Грузовой,591-21-2139,851
852,ОАК,99,Неудовлетворительное,Грузовой,457-04-5029,852
853,Boeing,83,Идеальное,Пассажирский,635-03-3735,853
854,Туполев,56,Неудовлетворительное,Грузовой,670-63-8473,854
855,Boeing,29,Идеальное,Пассажирский,461-11-0968,855
856,Airbus,70,Хорошее,Грузовой,308-23-5175,856
857,ОАК,6,Неудовлетворительное,Грузовой,473-22-4918,857
858,Туполев,10,Ну такое,Пассажирский,835-93-2231,858
859,Kawasaki,35,Хорошее,Пассажирский,745-58-4794,859
